id,title,creator,date,location,image,source,subject
Q79172041,La Leçon de harpe,Jean-Antoine-Théodore Giroust,1791,Musée d'Art de Dallas,https://commons.wikimedia.org/wiki/Special:FilePath/Jean%2520Antoine%2520Th%25C3%25A9odore%2520Giroust%2520-%2520The%2520Harp%2520Lesson%2520-%25202015.10.FA%2520-%2520Dallas%2520Museum%2520of%2520Art.jpg,https://www.wikidata.org/wiki/Q79172041,Félicité de Genlis
Q79172041,La Leçon de harpe,Jean-Antoine-Théodore Giroust,1791,Musée d'Art de Dallas,https://commons.wikimedia.org/wiki/Special:FilePath/Jean%2520Antoine%2520Th%25C3%25A9odore%2520Giroust%2520-%2520The%2520Harp%2520Lesson%2520-%25202015.10.FA%2520-%2520Dallas%2520Museum%2520of%2520Art.jpg,https://www.wikidata.org/wiki/Q79172041,Pamela Brûlart de Sillery
Q106291192,L'auteur à ses occupations,Marie-Nicole Vestier,1791,musée de la Révolution française,https://commons.wikimedia.org/wiki/Special:FilePath/Marie-Nicole%2520Dumont%2520-%2520Auteur%2520%25C3%25A0%2520ses%2520occupationsFXD.jpg,https://www.wikidata.org/wiki/Q106291192,Marie-Nicole Vestier
Q106291192,L'auteur à ses occupations,Marie-Nicole Vestier,1791,musée de la Révolution française,https://commons.wikimedia.org/wiki/Special:FilePath/Marie-Nicole%2520Dumont%2520-%2520Auteur%2520%25C3%25A0%2520ses%2520occupations.jpg,https://www.wikidata.org/wiki/Q106291192,Marie-Nicole Vestier
Q19912484,Autoportrait avec une harpe,Rose-Adélaïde Ducreux,1791,Metropolitan Museum of Art,https://commons.wikimedia.org/wiki/Special:FilePath/Rose%2520adelaide%2520ducreux%2520color.jpg,https://www.wikidata.org/wiki/Q19912484,Rose-Adélaïde Ducreux
Q115987519,,Antoine Vestier,1791,Phoenix Art Museum,https://commons.wikimedia.org/wiki/Special:FilePath/The%2520Singer%2520Rose%2520Renaud%2520by%2520Antoine%2520Vestier.JPG,https://www.wikidata.org/wiki/Q115987519,Rose Renaud
Q88218804,,Jean-Claude Naigeon,1791,Bowes Museum,https://commons.wikimedia.org/wiki/Special:FilePath/Attributed%2520to%2520Jean%2520Claude%2520Naigeon%2520-%2520Juno%2520Instructing%2520Cupid%252C%25201791.jpg,https://www.wikidata.org/wiki/Q88218804,Junon
Q29864720,Minerve remet à Hercule le décret qui a aboli les vices de l'ancien gouvernement,Clément-Louis-Marie-Anne Belle,1791,musée de la Révolution française,https://commons.wikimedia.org/wiki/Special:FilePath/Cl%25C3%25A9ment%2520Belle%2520-%2520La%2520Convention%2520Nationale%2520d%25C3%25A9cr%25C3%25A8te%2520l%2527abolition%2520de%2520la%2520monarchie%25201.jpg,https://www.wikidata.org/wiki/Q29864720,Minerve
Q29864723,La France reçoit de Minerve le code de lois républicaines,Clément-Louis-Marie-Anne Belle,1791,musée de la Révolution française,https://commons.wikimedia.org/wiki/Special:FilePath/Cl%25C3%25A9ment%2520Belle%2520-%2520Convention%2520nationale%2520remet%2520%25C3%25A0%2520la%2520France%2520le%2520code%2520des%2520Lois.jpg,https://www.wikidata.org/wiki/Q29864723,Minerve
Q3399482,Portrait de madame Pastoret,Jacques-Louis David,1791,Art Institute of Chicago,https://commons.wikimedia.org/wiki/Special:FilePath/Jacques%2520Louis%2520David%2520-%2520Madame%2520de%2520Pastoret%2520and%2520Her%2520Son%2520-%25201967.228%2520-%2520Art%2520Institute%2520of%2520Chicago.jpg,https://www.wikidata.org/wiki/Q3399482,Adélaïde de Pastoret
